location,year,month,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_cases,new_cases,total_deaths,new_deaths,vaccine_types_used
Croatia,2022,3,20209811,62338762.0,51397927.0,33410464.0,44382.0,476346.0,494.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Novavax"
Cyprus,2021,1,48447,55102.0,7608.0,878272.0,8881.0,5081.0,78.0,"Pfizer/BioNTech, Moderna"
Cyprus,2021,2,201791,187831.0,86964.0,923859.0,3708.0,6171.0,34.0,"Pfizer/BioNTech, Moderna, Oxford/AstraZeneca"
Cyprus,2021,3,490506,164009.0,64704.0,1260010.0,11170.0,7475.0,25.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2021,4,1066057,1174830.0,441934.0,1665592.0,20097.0,8462.0,52.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson"
Cyprus,2021,5,1886873,5254186.0,2056220.0,2210458.0,7281.0,10630.0,52.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2021,6,2867390,7198159.0,4678423.0,2237398.0,3069.0,11131.0,14.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson"
Cyprus,2021,7,4562556,10901870.0,9154427.0,2786245.0,26374.0,12079.0,45.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2021,8,4143844,9421592.0,8287481.0,3417317.0,12384.0,14448.0,90.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2021,9,4380083,9386541.0,8606432.0,3545967.0,4833.0,16156.0,42.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2021,10,5759980,7203550.0,6770138.0,3784961.0,3874.0,17458.0,23.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2021,11,4856309,7342999.0,6914502.0,3853409.0,10456.0,17552.0,22.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2021,12,7023414,5702686.0,5949827.0,4492797.0,32354.0,19094.0,41.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2022,1,6280298,7210272.0,6850006.0,6835614.0,89919.0,21195.0,95.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cyprus,2022,2,6531057,10294203.0,9622985.0,8206832.0,65770.0,22157.0,123.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,2020,12,34411,34408.0,3.0,18743896.0,195363.0,307408.0,3285.0,Pfizer/BioNTech
Czechia,2021,1,4048820,3782298.0,266546.0,26959120.0,266113.0,436680.0,4728.0,"Moderna, Pfizer/BioNTech"
Czechia,2021,2,13529531,8900098.0,4629433.0,30777715.0,250706.0,512288.0,4031.0,"Moderna, Pfizer/BioNTech, Oxford/AstraZeneca"
Czechia,2021,3,37406981,26680292.0,10727862.0,43611257.0,299066.0,731177.0,6082.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson"
